,IN_CGE_NPYnaive90,IN_CGE_NPYquinine90,IN_CGE_NPYsucrose90,IN_CGE_VIPnaive90,IN_CGE_VIPquinine90,IN_CGE_VIPsucrose90,IN_MGE-Pvalbnaive90,IN_MGE-Pvalbquinine90,IN_MGE-Pvalbsucrose90,IN_MGE-SSTnaive90,IN_MGE-SSTquinine90,IN_MGE-SSTsucrose90,Pyrlayer2a/bnaive90,Pyrlayer2a/bquinine90,Pyrlayer2a/bsucrose90,Pyrlayer3naive90,Pyrlayer3quinine90,Pyrlayer3sucrose90,SL1naive90,SL1quinine90,SL1sucrose90,SL2naive90,SL2quinine90,SL2sucrose90,Vglut2naive90,Vglut2quinine90,Vglut2sucrose90,genes,var
23,0.6162657,0.76248497,0.59584016,0.8836076,1.0770661,0.9353547,0.3308677,0.32975715,0.4709484,0.49596375,0.5450071,0.64162743,0.3046834,0.29981852,0.28733173,0.44572884,0.47906166,0.42613614,0.1032609,0.06834099,0.08678785,0.06512362,0.10606095,0.07017481,0.38169163,0.5087827,0.43063948,Plppr1,0.07121853882248746
24,1.0050548,0.90431803,1.3578546,1.8275837,2.0517561,1.9967526,1.5339202,1.8566192,1.7120693,2.1326241,2.4465148,2.347671,0.78033173,0.9700304,0.8398211,1.3757503,1.5107526,1.5669029,1.3800342,1.523448,1.5670904,1.7242019,1.9626434,1.7228086,2.8228595,3.0461335,3.0648897,Dcc,0.3727549220252255
25,0.21433997,0.31594777,0.4120827,0.21642853,0.21396145,0.30042982,0.21845041,0.38310537,0.35813534,0.24470617,0.36504352,0.30942953,0.25047943,0.33005455,0.29634768,0.21301883,0.31145,0.30125615,0.30393466,0.27654043,0.39886186,0.23635007,0.3846879,0.3349578,0.16068994,0.32513762,0.36351722,Mapk8ip2,0.00432017136649226
26,0.09437719,0.0,0.038971,0.09595519,0.05114019,0.013074011,0.04153058,0.03492109,0.015999945,0.019663963,0.013336722,0.029598504,0.012023589,0.018671954,0.01946451,0.02612966,0.017684925,0.017509528,0.014046188,0.01659244,0.021493606,0.008883093,0.040339172,0.01052159,0.046888374,0.0,0.018653808,Zeb2os,0.0005329385229205262
27,0.34822905,0.16267245,0.3402403,0.2627807,0.17704687,0.254734,0.1741691,0.12882823,0.11211077,0.46676943,0.4215709,0.43044668,1.0191312,1.1543139,1.177485,0.44652846,0.42523926,0.4618713,0.80621636,0.8348868,1.1299541,1.4937184,1.5958042,1.8180491,0.5907772,0.6331734,0.77891487,Unc13c,0.22042888254992374
28,0.08160257,0.0,0.043818623,0.10176242,0.03734809,0.038074676,0.07366079,0.01844232,0.044822905,0.08321952,0.055139277,0.06590958,0.0648036,0.0297937,0.033596925,0.056222633,0.04746487,0.039201975,0.066617735,0.07583831,0.054708943,0.08136785,0.0113018695,0.057541676,0.06929266,0.028913997,0.041527666,Rsl24d1,0.0005494511348109548
29,0.0,0.0,0.0,0.0107012745,0.035190865,0.0066967187,0.0,0.0,0.0,0.0,0.0,0.0,0.010333879,0.015858356,0.0024438659,0.008697874,0.008192729,0.0034659966,0.007328494,0.015870096,0.0,0.0058327448,0.0,0.009231007,0.0,0.0,0.0,Cenpf,5.989953401356645e-05
30,0.039322086,0.022642672,0.044646215,0.060192317,0.019344052,0.029262207,0.078026466,0.023256358,0.049340226,0.0720635,0.02584446,0.020219104,0.029784285,0.04000055,0.040492974,0.04406009,0.0495602,0.04180732,0.041856576,0.048742924,0.051482774,0.036686927,0.02685805,0.04859407,0.01829727,0.065068126,0.050695434,A2ml1,0.00024264097532681117
31,0.06950003,0.05786909,0.07549442,0.065342635,0.15170228,0.03349558,0.10041809,0.24601752,0.20247439,0.32547885,0.38239878,0.39624435,0.044156894,0.027347952,0.039410405,0.03290264,0.03139589,0.030753968,0.044201,0.052968733,0.021626338,0.029111821,0.024866028,0.033181828,0.10071824,0.12937057,0.039821453,Lypd6,0.011801702871237836
32,0.039190862,0.03757462,0.031926956,0.011180149,0.016689828,0.013871615,0.047222853,0.0,0.048307627,0.014721054,0.019285912,0.02330808,0.006367409,0.014719933,0.0036562427,0.018921815,0.008442976,0.015326333,0.028854402,0.016797308,0.012590422,0.019371841,0.010747829,0.008774631,0.06784197,0.0,0.014177712,Vwa5a,0.00024590980842740677
33,0.39820337,0.53762794,0.3389822,0.09877695,0.049399666,0.06875542,0.09285706,0.12391204,0.098039344,0.057445496,0.028610311,0.06811952,0.025232308,0.038059995,0.03786224,0.045731008,0.02857374,0.04710506,0.117087066,0.023820054,0.09038232,0.08294688,0.012452725,0.022911359,0.084142484,0.058764145,0.10847218,Hapln1,0.014652721521464422
34,0.015752316,0.0,0.0,0.0,0.0,0.0,0.0,0.010031563,0.050562214,0.016049225,0.0,0.008774422,0.020511659,0.029539416,0.0022285793,0.01544155,0.008013438,0.0064749424,0.0067877043,0.01638607,0.012380725,0.0047565536,0.0055475133,0.008391107,0.057493266,0.0,0.0,Fcer2a,0.00020570558514051092
35,0.0,0.02045884,0.009559778,0.0144189615,0.0,0.0,0.0,0.0,0.0,0.025048696,0.023153469,0.03071247,0.0,0.0,0.0,0.0013185813,0.0025664237,0.0006053651,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.013692268,0.01604083,Ppp3r2,8.735114643200903e-05
36,0.11942741,0.1594431,0.11846806,0.09586349,0.13059,0.111255705,0.16043627,0.1955164,0.21141645,0.082329564,0.11098313,0.071505174,0.06318207,0.039059103,0.05517918,0.037703253,0.04567076,0.04655406,0.22086751,0.20999774,0.18323393,0.046631984,0.106329024,0.061667196,0.34572974,0.39718857,0.42279485,Tspan9,0.010760349952635508
37,0.019858103,0.0,0.0,0.014978203,0.012200425,0.027142268,0.0,0.011526941,0.01364764,0.017377643,0.035413552,0.0,0.008822158,0.009159099,0.004155291,0.01262427,0.014295806,0.008807179,0.029635997,0.020229608,0.025238987,0.0036492962,0.0064978,0.02422893,0.019903995,0.01082605,0.018653808,Dclre1b,8.84700425752345e-05
38,0.04717107,0.037647583,0.096672535,0.03148631,0.06345143,0.09221975,0.05506158,0.047493014,0.036413684,0.07096917,0.039029896,0.061679013,0.07921724,0.057963148,0.043060035,0.07355435,0.05461677,0.039181337,0.02977068,0.015166459,0.017470147,0.05498678,0.048543703,0.058193557,0.035248958,0.05043212,0.014700117,Dbndd1,0.0004242647657646453
39,0.0,0.038702898,0.0,0.021486767,0.0,0.018482722,0.0,0.011317476,0.011088892,0.041368004,0.0,0.017208692,0.011802159,0.009359978,0.022428015,0.011376781,0.009437256,0.010250533,0.009372955,0.021366647,0.009628272,0.00440935,0.010186185,0.018382078,0.0,0.0,0.014530679,Nostrin,0.00011399726518028588
