Only in Index 1,Only in Index 2,In Both
Enoph1,Fdx1,Cenps
Enpep,Fgf2os,Cep112
Enpp3,Fgfr1,Cfap100
Enpp5,Fgfr2,Cfap299
Epb41l4aos,Fgfr3,Cfap52
Epha1,Fhitos,Cfh
Ephx2,Fibin,Cfl1
Epn1,Ficd,Cflar
Eps8l2,Fjx1,Cftr
Ermn,Fkbp10,Cgnl1
Espn,Fkbp1b,Chac1
Esyt1,Flrt3,Chaf1b
Etnppl,Flt4,Chchd10
Etv5,Fmo5,Chn1os1
Evpl,Foxj1,Chn2
Exd1,Foxo4,Chrdl1
Exo1,Frat2,Chrm2
Exo5,Fshr,Chrm3
Exoc8,Fst,Chrna7
F2rl2,Fut2,Chrna9
Fads1,Fxyd4,Chst2
Fam131c,Fzd1,Chst5
Fam149a,Fzd2,Chst9
Fam160a1,Fzd6,Chsy3
Fam163b,Fzd7,Cilp2
Fam167a,G3bp2,Cish
Fam169a,Gabrq,Cited1
Fam177a,Gadd45g,Cldn16
Fam221a,Gadl1,Cldn5
Fam43a,Gal3st4,Cldnd1
Fam78a,Galnt1,Clec18a
Fanca,Galnt18,Clec2d
Fasn,Galnt4,Clic4
Fbl,Gapdhs,Clic6
Fbll1,Garem2,Clmn
Fbxl12os,Gas1,Clptm1l
Fbxo2,Gas5,Clstn2
Fcer2a,Gatd1,Cmpk1
Fcgr3,Gcat,Cmss1
Fdft1,Gdpd3,Cmtm5
Fdps,Ghdc,Cmtm8
Fezf2,Gja6,Cnih3
Fhad1,Gjc1,Cnn2
Fibcd1,Glb1l,Cnr1
Fis1,Glp2r,Cntn4
Fkbp3,Glrx5,Cntn5
Fkbp8,Gltp,Cntn6
Fkbp9,Gng11,Cntnap2
Fkrp,Gng5,Cntnap3
Fmc1,Gng8,Cntnap4
Fmo1,Gpnmb,Cntnap5a
Fndc10,Gpr12,Cntnap5b
Fndc5,Gpr137c,Cntnap5c
Fnip2,Gpr18,Coa4
Foxc1,Gpr34,Coa6
Fscn1,Gpr37,Cobll1
Fscn2,Gpr83,Col11a1
Fuca1,Gprin2,Col14a1
Fxyd2,Gprin3,Col15a1
Fxyd6,Gpx3,Col19a1
Fzd4,Grem2,Col1a1
Gaa,Grik2,Col1a2
Gabrr2,Grin2c,Col23a1
Galm,Grip1os3,Col24a1
Gask1a,Grp,Col25a1
Gatd3a,Grpel1,Col26a1
Gbx1,Grtp1,Col27a1
Gckr,Gstm4,Col4a5
Gcnt1,Gtf2h5,Col5a2
Gcsh,Gucy1a1,Col6a1
Gdf11,Gucy2f,Col8a1
Gdi1,H2-M3,Colec12
Gdpd2,H2-T23,Copz2
Gfap,H2afj,Corin
Gga1,H2afz,Coro6
Gid8,H3f3a,Cox17
Gins1,H3f3b,Cox20
Git1,Hacd4,Cox6a2
Gja5,Hbegf,Cox7a2
Gjb1,Hccs,Cox7b
Glipr1,Hcrt,Cox7c
Glra1,Hdx,Cp
Gnai2,Helb,Cpa6
Gnb4,Herpud1,Cpb1
Gng12,Hes7,Cped1
Gngt2,Hint1,Cplx3
Gnl1,Hist1h2bc,Cpm
Got1,Hist2h3c1,Cpne2
Got2,Hist2h3c2,Cpne4
Gpld1,Hist3h2ba,Cpne7
Gpr139,Hkdc1,Cpne8
Gpr160,Hmcn2,Cpne9
Gpr165,Hmgb4,Cpq
Gpr17,Hmgcs2,Cpt1a
Gpr182,Hnrnpa2b1,Creb3l2
Gpr27,Hnrnph1,Creb5
Gpr35,Hoga1,Crh
Gprin1,Homer3,Crhbp
Gpx1,Hpgds,Crhr2
Gpx7,Hprt,Crim1
Gpx8,Hras,Crispld1
Grb10,Hspa13,Crispld2
Grb7,Hspb3,Crtac1
Grcc10,Htr1a,Crtap
Gria4,Hyal2,Crybg1
Grina,Hyls1,Cryzl2
Grk4,Ido2,Cspg4
Grm2,Ifih1,Csrp1
Grwd1,Ifit3b,Cstf2t
Gsn,Igf1r,Ctcflos
Gstp1,Igfbpl1,Ctf2
Gtf2a1l,Ighm,Ctnna3
Gtf3a,Igsf21,Ctsb
Gtsf1,Igsf9,Ctsc
H1fx,Ikzf2,Ctsd
Hadh,Ikzf5,Ctsl
Hap1,Il11ra1,Ctso
Hapln4,Il13ra1,Ctsz
Has2,Il1r1,Cux2
Haus4,Il1r2,Cx3cr1
Hddc3,Il1rl2,Cxcl14
Hdhd3,Il21r,Cyb5r1
Hebp2,Il31ra,Cyb5r3
Heph,Il6ra,Cyc1
Hes1,Impa2,Cyp2d22
Hey1,Inhba,Cyp2j9
Hfe,Iqcg,Cyp4f16
Hgh1,Iqch,Cyp4f17
Hivep1,Irak3,Cyp4x1os
Hmga1,Irf2bp2,D5Ertd615e
Hmgb2,Irf2bpl,D7Ertd443e
Hpcal1,Irgc1,Daam2
Hps6,Irgq,Dab2
Hsbp1,Itga4,Dach1
Hsd17b10,Itga5,Dach2
Hsd17b11,Itga7,Dapk2
Hspa1l,Itgb1bp1,Dapp1
Hspa2,Itgb3bp,Dbi
Hspb8,Itgb8,Dcaf12l1
Hykk,Jade1,Dcaf12l2
Icosl,Jrkl,Dcc
Idh1,Jup,Dchs2
Ier3,Kank2,Dclre1b
Ifi35,Kansl1l,Dcn
Ifit3,Kbtbd8,Dctd
Ifitm2,Kcnab3,Ddah1
Igsf8,Kcnip3,Ddah2
Il10rb,Kcnj16,Ddb1
Il16,Kcnj2,Ddc
Impad1,Kcns1,Ddr2
Impdh2,Kdr,Ddx28
Impg1,Kif4,Decr1
Ina,Klf16,Deptor
Inafm2,Klf2,Dhrs1
Inf2,Klf4,Dio2
Insm1,Klf5,Dipk1c
Iqcc,Klhdc7a,Diras1
Irak4,Klhl21,Dkk2
Irf1,Kmt2d,Dlc1
Irf2bp1,Kpnb1,Dlk1
Irs2,Krt10,Dlx1
Isca1,Krt12,Dlx1as
Islr,Krt20,Dlx2
Isoc1,Krtcap2,Dlx5
Isoc2a,Kti12,Dlx6
Itgae,Lamtor2,Dlx6os1
Itpr3,Lats2,Dmkn
Jun,Ldb1,Dnah11
Kank1,Lgals8,Dnah14
Kcnf1,Lgi4,Dnah7b
Kcng2,Lig4,Dnah9
Kcnj11,Lipc,Dnaic2
Kcnk6,Liph,Dnajb1
Kcnn1,Lmo2,Dnajc12
Kcnq4,Lor,Dnajc28
Kcns2,Loxl1,Dnase1l3
Kctd10,Lpl,Dner
Kctd12,Lratd1,Dnm3
Kctd14,Lratd2,Dnmt3b
Kdelr2,Lrig3,Dnph1
Kif18a,Lrp2bp,Dock1
Kif19a,Lrrc17,Dock10
Kif26a,Lrrc23,Dock11
Kif7,Lrrc3,Dock5
Kl,Lrrc39,Dock8
Klf10,Lrrc4c,Dolpp1
Klf13,Lsm10,Dpf3
Klf9,Lsm14b,Dpm3
Klhdc3,Lsm5,Dpp10
Klhl34,Lsm6,Dpp4
Kmo,Lsm8,Dpy19l1
Kpna7,Ltbr,Dpysl3
Krt1,Lum,Dpysl5
Kyat1,Lurap1l,Dqx1
Lamp5,Lxn,Drd2
Lancl3,Lysmd2,Dsc3
